"(활)바위굴:마산(대)","2013-12-28","15800"
"(선)바위굴:통영(대)","2013-12-28","20800"
"(선)바위굴:마산(대)","2013-12-28","20000"
"(활)바위굴:마산(대)","2013-12-30","15600"
"(활)바위굴:마산(중)","2013-12-30","9000"
"(활)바위굴:사천(대)","2013-12-30","12100"
"(활)바위굴:통영(대)","2013-12-30","16200"
"(선)바위굴:마산(대)","2013-12-30","20000"
"(선)바위굴:통영(대)","2013-12-30","22100"
"(활)바위굴:마산(소)","2013-12-31","16000"
"(활)바위굴:마산(대)","2013-12-31","16000"
"(활)바위굴:사천(대)","2013-12-31","14300"
"(활)바위굴:통영(대)","2013-12-31","16300"
"(활)바위굴:마산(중)","2013-12-31","9000"
"(선)바위굴:통영(대)","2013-12-31","19800"
"(선)바위굴:마산(대)","2013-12-31","20000"
"(활)바위굴:통영(중)","2014-01-02","50000"
"(활)바위굴:사천(중)","2014-01-02","14000"
"(활)바위굴:마산(대)","2014-01-02","15700"
"(활)바위굴:통영(대)","2014-01-02","16000"
"(활)바위굴:사천(대)","2014-01-02","16200"
"(선)바위굴:통영(중)","2014-01-02","21300"
"(선)바위굴:마산(대)","2014-01-02","20000"
"(선)바위굴:통영(대)","2014-01-02","18800"
"(활)바위굴:마산(중)","2014-01-03","10000"
"(활)바위굴:마산(대)","2014-01-03","15600"
"(활)바위굴:통영(대)","2014-01-03","16200"
"(활)바위굴:사천(대)","2014-01-03","16300"
"(활)바위굴:통영(중)","2014-01-03","11000"
"(선)바위굴:통영(대)","2014-01-03","20500"
"(선)바위굴:마산(대)","2014-01-03","20000"
"(활)바위굴:사천(대)","2014-01-04","16300"
"(활)바위굴:마산(대)","2014-01-04","14000"
"(활)바위굴:통영(대)","2014-01-04","15400"
"(선)바위굴:마산(대)","2014-01-04","20000"
"(선)바위굴:통영(대)","2014-01-04","18800"
"(활)바위굴:사천(대)","2014-01-06","12900"
"(활)바위굴:마산(대)","2014-01-06","15000"
"(활)바위굴:마산(중)","2014-01-06","13300"
"(활)바위굴:통영(대)","2014-01-06","16300"
"(활)바위굴:마산(대)","2014-01-06","15200"
"(선)바위굴:마산(대)","2014-01-06","20000"
"(선)바위굴:통영(대)","2014-01-06","20500"
"(활)바위굴:삼천포(대)","2014-01-07","11500"
"(활)바위굴:남해(중)","2014-01-07","12000"
"(활)바위굴:통영(대)","2014-01-07","16500"
"(활)바위굴:마산(대)","2014-01-07","16400"
"(선)바위굴:통영(대)","2014-01-07","20900"
"(선)바위굴:마산(대)","2014-01-07","20000"
"(선)바위굴:통영(중)","2014-01-07","20000"
"(활)바위굴:마산(중)","2014-01-08","18700"
"(활)바위굴:통영(대)","2014-01-08","16500"
"(활)바위굴:삼천포(대)","2014-01-08","16000"
"(활)바위굴:사천(대)","2014-01-08","10200"
"(활)바위굴:마산(대)","2014-01-08","15700"
"(선)바위굴:마산(소)","2014-01-08","20000"
"(선)바위굴:통영(대)","2014-01-08","19800"
"(활)바위굴:남해(대)","2014-01-09","9000"
"(활)바위굴:마산(중)","2014-01-09","17000"
"(활)바위굴:삼천포(대)","2014-01-09","16000"
"(활)바위굴:마산(대)","2014-01-09","16000"
"(활)바위굴:사천(대)","2014-01-09","11800"
"(선)바위굴:마산(대)","2014-01-09","20000"
"(선)바위굴:통영(대)","2014-01-09","18800"
"(선)바위굴:통영(중)","2014-01-09","20000"
"(활)바위굴:마산(중)","2014-01-10","13200"
"(활)바위굴:사천(대)","2014-01-10","14800"
"(활)바위굴:삼천포(대)","2014-01-10","16000"
"(활)바위굴:마산(대)","2014-01-10","16000"
"(선)바위굴:마산(대)","2014-01-10","20000"
"(선)바위굴:통영(중)","2014-01-10","20000"
"(선)바위굴:통영(대)","2014-01-10","19300"
"(활)바위굴:통영(대)","2014-01-11","16400"
"(활)바위굴:삼천포(대)","2014-01-11","16000"
"(활)바위굴:사천(대)","2014-01-11","15200"
"(활)바위굴:마산(대)","2014-01-11","16000"
"(선)바위굴:마산(대)","2014-01-11","20000"
"(선)바위굴:통영(대)","2014-01-11","19400"
"(선)바위굴:통영(중)","2014-01-11","18000"
"(활)바위굴:마산(대)","2014-01-13","16000"
"(활)바위굴:통영(대)","2014-01-13","16000"
"(활)바위굴:삼천포(대)","2014-01-13","16000"
"(활)바위굴:마산(중)","2014-01-13","10500"
"(활)바위굴:사천(대)","2014-01-13","14900"
"(선)바위굴:마산(대)","2014-01-13","20000"
"(선)바위굴:통영(대)","2014-01-13","19400"
"(활)바위굴:마산(대)","2014-01-14","15000"
"(활)바위굴:통영(대)","2014-01-14","16400"
"(활)바위굴:삼천포(중)","2014-01-14","8000"
"(활)바위굴:사천(대)","2014-01-14","14500"
"(활)바위굴:삼천포(대)","2014-01-14","16000"
"(선)바위굴:마산(대)","2014-01-14","20000"
"(선)바위굴:통영(대)","2014-01-14","20000"
"(활)바위굴:삼천포(대)","2014-01-15","16000"
"(활)바위굴:사천(대)","2014-01-15","13500"
"(활)바위굴:마산(대)","2014-01-15","15200"
"(활)바위굴:통영(대)","2014-01-15","16500"
"(선)바위굴:통영(중)","2014-01-15","20000"
"(선)바위굴:마산(대)","2014-01-15","20000"
"(선)바위굴:통영(대)","2014-01-15","18200"
"(활)바위굴:마산(대)","2014-01-16","13900"
"(활)바위굴:통영(대)","2014-01-16","16300"
"(활)바위굴:삼천포(대)","2014-01-16","16000"
"(활)바위굴:사천(대)","2014-01-16","13800"
"(선)바위굴:통영(대)","2014-01-16","18000"
"(선)바위굴:마산(대)","2014-01-16","20000"
"(선)바위굴:통영(중)","2014-01-16","21500"
"(활)바위굴:사천(대)","2014-01-17","15300"
"(활)바위굴:삼천포(대)","2014-01-17","16000"
"(활)바위굴:통영(대)","2014-01-17","16000"
"(활)바위굴:마산(대)","2014-01-17","14600"
"(선)바위굴:통영(대)","2014-01-17","18700"
"(선)바위굴:마산(대)","2014-01-17","20000"
